Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007049~cell cycle	40	24.691358024691358	3.8211610485291866E-30	72119, 215387, 17345, 72415, 14694, 72776, 268697, 68612, 30939, 19384, 57441, 20878, 56150, 69928, 233406, 27221, 52276, 22196, 214901, 18519, 18817, 12237, 66197, 16319, 12316, 51944, 12534, 66442, 21335, 217653, 68743, 27214, 68549, 229841, 12449, 54124, 108907, 19735, 17215, 218977	157	650	29878	11.711121999020088	5.009542134621764E-27	5.009542134621764E-27	4.9254765915541214E-27
GOTERM_BP_DIRECT	GO:0051301~cell division	31	19.1358024691358	9.260782611259855E-26	72119, 215387, 72415, 268697, 68612, 30939, 19384, 20878, 54392, 56150, 69928, 233406, 52276, 22196, 18817, 12237, 66197, 16319, 12316, 51944, 12534, 66442, 21335, 217653, 68743, 68549, 229841, 12449, 54124, 100502766, 108907	157	408	29878	14.45950418383914	1.214088600336167E-22	6.070443001680835E-23	5.968574392956977E-23
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	42	25.925925925925924	2.2301555626118362E-25	72119, 215387, 17345, 72415, 14694, 72776, 268697, 68612, 30939, 19384, 57441, 20878, 54392, 56150, 69928, 233406, 27221, 52276, 22196, 214901, 18519, 18817, 12237, 66197, 16319, 12316, 51944, 12534, 66442, 21335, 217653, 68743, 27214, 68549, 229841, 12449, 54124, 100502766, 108907, 19735, 17215, 218977	99	656	11227	7.260624538063563	1.4496011156976935E-23	1.4496011156976935E-23	1.4496011156976935E-23
UP_KW_BIOLOGICAL_PROCESS	KW-0132~Cell division	31	19.1358024691358	1.1459434740505829E-20	72119, 215387, 72415, 268697, 68612, 30939, 19384, 20878, 54392, 56150, 69928, 233406, 52276, 22196, 18817, 12237, 66197, 16319, 12316, 51944, 12534, 66442, 21335, 217653, 68743, 68549, 229841, 12449, 54124, 100502766, 108907	99	394	11227	8.922652925190997	7.448632581328789E-19	3.7243162906643945E-19	3.7243162906643945E-19
UP_KW_BIOLOGICAL_PROCESS	KW-0498~Mitosis	27	16.666666666666664	6.763435659583824E-20	72119, 215387, 72415, 268697, 68612, 30939, 19384, 20878, 54392, 56150, 69928, 52276, 22196, 18817, 12237, 16319, 12316, 51944, 12534, 66442, 21335, 217653, 68743, 229841, 12449, 100502766, 108907	99	284	11227	10.781370038412291	4.396233178729486E-18	1.4654110595764952E-18	1.4654110595764952E-18
GOTERM_CC_DIRECT	GO:0005634~nucleus	83	51.23456790123457	3.6817476583069756E-16	72415, 14694, 268697, 71564, 30939, 70350, 19384, 94244, 208677, 69928, 246196, 66929, 22196, 214901, 228482, 18817, 12237, 16319, 12316, 109205, 18148, 14260, 19155, 75735, 98238, 20384, 406217, 27214, 21834, 11910, 229841, 12449, 56228, 18708, 100502766, 108907, 17215, 242083, 13655, 16647, 72119, 68895, 215387, 18830, 17345, 75747, 68612, 72155, 665113, 72475, 22695, 56198, 57441, 20878, 56150, 233406, 12615, 52276, 27221, 13345, 78749, 18519, 18514, 72828, 17427, 51944, 12534, 66442, 20203, 217653, 238330, 244871, 68743, 12142, 218100, 27756, 70261, 68549, 97165, 12144, 71949, 19735, 218977	159	6691	30060	2.3451947561212894	9.492406860545088E-14	1.049298082617488E-13	9.425274005265857E-14
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	14	8.641975308641975	3.1620780536088465E-14	66442, 72415, 406217, 30939, 72155, 68549, 69928, 229841, 22196, 214901, 12237, 16319, 218977, 51944	157	113	29878	23.577701369708585	4.1481817980582036E-11	1.381828109427066E-11	1.3586395370339344E-11
GOTERM_CC_DIRECT	GO:0000775~chromosome, centromeric region	15	9.25925925925926	1.628085161082855E-13	66442, 17345, 217653, 72415, 72155, 68549, 69928, 56150, 229841, 12615, 52276, 18817, 12237, 16319, 51944	159	160	30060	17.724056603773587	4.6386228191863665E-11	2.3200213545430684E-11	2.0839490061860543E-11
GOTERM_CC_DIRECT	GO:0005694~chromosome	22	13.580246913580247	1.1019510097172229E-11	66442, 215387, 17345, 217653, 72415, 72155, 68549, 94244, 97165, 69928, 56150, 229841, 246196, 12615, 52276, 12144, 18817, 108907, 12237, 17215, 16319, 51944	159	610	30060	6.818434890194866	3.1405628098113425E-9	1.0468534592313617E-9	9.403315282920302E-10
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	79	48.76543209876543	2.4651659268912932E-11	20378, 72415, 14694, 268697, 72776, 30939, 70350, 19384, 67427, 94244, 54392, 246196, 66929, 83675, 22196, 24056, 214901, 50795, 18817, 104732, 16319, 12316, 19989, 66101, 76808, 18148, 14260, 19155, 75735, 18263, 232174, 20384, 406217, 229841, 12449, 18708, 100502766, 108907, 17215, 16647, 72119, 215387, 17345, 75747, 15366, 665113, 22695, 56198, 57441, 20878, 56150, 233406, 209737, 56431, 52276, 13345, 78749, 18519, 69387, 18514, 72828, 17427, 51944, 12534, 20203, 21335, 68743, 12142, 218100, 27756, 70261, 22785, 97165, 54381, 78733, 12144, 19735, 17756, 218977	159	7472	30060	1.9988586319744657	7.025710013763842E-9	1.7564307229100464E-9	1.5777061932104277E-9
