Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005840~ribosome	24	19.834710743801654	5.0611297532095145E-26	268449, 66475, 20103, 76808, 267019, 20102, 14694, 20042, 78294, 110954, 56040, 27176, 12317, 13627, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	121	224	30060	26.617473435655256	1.1539375837317694E-23	1.1539375837317694E-23	1.0172870803951124E-23
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	20	16.528925619834713	1.037032566445386E-25	268449, 66475, 20103, 76808, 267019, 20102, 20042, 78294, 110954, 56040, 27176, 13627, 11837, 67281, 20085, 68052, 19943, 269261, 67891, 19989	121	115	30060	43.20517427236795	2.36443425149548E-23	1.18221712574774E-23	1.042217729277613E-23
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	19	15.702479338842975	9.138979880366971E-24	268449, 66475, 20103, 76808, 267019, 20102, 20042, 78294, 56040, 27176, 11837, 67281, 20085, 68052, 19943, 269261, 27370, 67891, 19989	117	121	29878	40.09903228085046	1.1304918112013944E-20	1.1304918112013944E-20	1.1186111373569173E-20
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	21	17.355371900826448	7.864194666134141E-21	268449, 66475, 20103, 76808, 267019, 20102, 20042, 78294, 110954, 56040, 27176, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	119	239	29205	21.564115185823283	2.4143077625031815E-18	2.4143077625031815E-18	2.3513942051741082E-18
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	24	19.834710743801654	4.1544396775537494E-20	268449, 66475, 20103, 76808, 18148, 20102, 15382, 14694, 22608, 20042, 67996, 78294, 56040, 27176, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	121	406	30060	14.685502585189106	9.472122464822549E-18	3.1573741549408493E-18	2.7834745839610122E-18
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	22	18.181818181818183	6.547084385334687E-20	268449, 66475, 20103, 76808, 267019, 20102, 14694, 20042, 78294, 110954, 56040, 27176, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	82	201	12229	16.32314039558306	2.9461879734006093E-18	2.9461879734006093E-18	2.8807171295472623E-18
GOTERM_BP_DIRECT	GO:0006412~translation	22	18.181818181818183	1.297732120373963E-19	268449, 66475, 20103, 76808, 267019, 20102, 14694, 19652, 20042, 78294, 110954, 13627, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 55949, 67891, 19989	117	334	29878	16.820615179896617	1.6052946329025923E-16	8.026473164512961E-17	7.942120576688653E-17
GOTERM_BP_DIRECT	GO:0140236~translation at presynapse	13	10.743801652892563	1.7870222958204878E-17	268449, 20103, 267019, 20042, 78294, 110954, 27176, 67281, 19943, 269261, 27370, 67891, 19989	117	64	29878	51.87152777777777	2.2105465799299434E-14	6.7539769017536606E-15	6.682997354685918E-15
GOTERM_BP_DIRECT	GO:0140242~translation at postsynapse	13	10.743801652892563	2.183986063622849E-17	268449, 20103, 267019, 20042, 78294, 110954, 27176, 67281, 19943, 269261, 27370, 67891, 19989	117	65	29878	51.07350427350427	2.7015907607014642E-14	6.7539769017536606E-15	6.682997354685918E-15
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	23	19.00826446280992	5.3346921480055974E-17	268449, 66475, 20103, 76808, 267019, 20102, 15382, 14694, 20042, 78294, 110954, 56040, 27176, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	82	317	12229	10.8204585673617	2.4006114666025188E-15	1.2003057333012594E-15	1.1736322725612315E-15
GOTERM_CC_DIRECT	GO:0098794~postsynapse	20	16.528925619834713	1.2467054112768025E-15	268449, 66475, 20103, 267019, 22418, 20042, 78294, 110954, 226778, 56040, 27176, 11837, 67281, 20085, 19943, 269261, 27370, 67891, 17756, 19989	121	384	30060	12.93904958677686	2.7844393457598926E-13	7.106220844277774E-14	6.264694691665932E-14
KEGG_PATHWAY	mmu03010:Ribosome	21	17.355371900826448	3.945347878914221E-15	268449, 66475, 20103, 76808, 267019, 20102, 20042, 78294, 110954, 56040, 27176, 11837, 67281, 20085, 68052, 66292, 19943, 269261, 27370, 67891, 19989	75	265	9718	10.268075471698115	5.995204332975845E-13	5.918021818371332E-13	5.918021818371332E-13
